;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050
104;35,6;35,6;35,6;35,6;35,6;35,6;35,6
105;35,6;35,6;35,6;35,6;35,6;35,6;35,6
106;35,6;35,6;35,6;35,6;35,6;35,6;35,6
107;35,6;35,6;35,6;35,6;35,6;35,6;35,6
108;35,6;35,6;35,6;35,6;35,6;35,6;35,6
109;35,6;35,6;35,6;35,6;35,6;35,6;35,6
110;35,6;35,6;35,6;35,6;35,6;35,6;35,6
111;35,6;35,6;35,6;35,6;35,6;35,6;35,6
112;35,6;35,6;35,6;35,6;35,6;35,6;35,6
113;35,6;35,6;35,6;35,6;35,6;35,6;35,6
114;35,6;35,6;35,6;35,6;35,6;35,6;35,6
115;35,6;35,6;35,6;35,6;35,6;35,6;35,6
116;35,6;35,6;35,6;35,6;35,6;35,6;35,6
117;35,6;35,6;35,6;35,6;35,6;35,6;35,6
118;35,6;35,6;35,6;35,6;35,6;35,6;35,6
119;35,6;35,6;35,6;35,6;35,6;35,6;35,6
120;35,6;35,6;35,6;35,6;35,6;35,6;35,6
121;35,6;35,6;35,6;35,6;35,6;35,6;35,6
122;35,6;35,6;35,6;35,6;35,6;35,6;35,6
123;35,6;35,6;35,6;35,6;35,6;35,6;35,6
124;35,6;35,6;35,6;35,6;35,6;35,6;35,6
125;35,6;35,6;35,6;35,6;35,6;35,6;35,6
126;35,6;35,6;35,6;35,6;35,6;35,6;35,6
127;35,6;35,6;35,6;35,6;35,6;35,6;35,6
128;35,6;35,6;35,6;35,6;35,6;35,6;35,6
129;35,6;35,6;35,6;35,6;35,6;35,6;35,6
130;35,6;35,6;35,6;35,6;35,6;35,6;35,6
131;35,6;35,6;35,6;35,6;35,6;35,6;35,6
132;35,6;35,6;35,6;35,6;35,6;35,6;35,6
133;35,6;35,6;35,6;35,6;35,6;35,6;35,6
134;35,6;35,6;35,6;35,6;35,6;35,6;35,6
135;35,6;35,6;35,6;35,6;35,6;35,6;35,6
136;35,6;35,6;35,6;35,6;35,6;35,6;35,6
137;35,6;35,6;35,6;35,6;35,6;35,6;35,6
138;35,6;35,6;35,6;35,6;35,6;35,6;35,6
139;35,6;35,6;35,6;35,6;35,6;35,6;35,6
140;35,6;35,6;35,6;35,6;35,6;35,6;35,6
141;35,6;35,6;35,6;35,6;35,6;35,6;35,6
142;35,6;35,6;35,6;35,6;35,6;35,6;35,6
143;35,6;35,6;35,6;35,6;35,6;35,6;35,6
144;35,6;35,6;35,6;35,6;35,6;35,6;35,6
145;35,6;35,6;35,6;35,6;35,6;35,6;35,6
146;35,6;35,6;35,6;35,6;35,6;35,6;35,6
147;35,6;35,6;35,6;35,6;35,6;35,6;35,6
148;35,6;35,6;35,6;35,6;35,6;35,6;35,6
149;35,6;35,6;35,6;35,6;35,6;35,6;35,6
150;35,6;35,6;35,6;35,6;35,6;35,6;35,6
151;35,6;35,6;35,6;35,6;35,6;35,6;35,6
152;35,6;35,6;35,6;35,6;35,6;35,6;35,6
153;35,6;35,6;35,6;35,6;35,6;35,6;35,6
154;35,6;35,6;35,6;35,6;35,6;35,6;35,6
155;35,6;35,6;35,6;35,6;35,6;35,6;35,6
156;35,6;35,6;35,6;35,6;35,6;35,6;35,6
157;35,6;35,6;35,6;35,6;35,6;35,6;35,6
158;35,6;35,6;35,6;35,6;35,6;35,6;35,6
159;35,6;35,6;35,6;35,6;35,6;35,6;35,6
160;35,6;35,6;35,6;35,6;35,6;35,6;35,6
161;35,6;35,6;35,6;35,6;35,6;35,6;35,6
162;35,6;35,6;35,6;35,6;35,6;35,6;35,6
163;35,6;35,6;35,6;35,6;35,6;35,6;35,6
164;35,6;35,6;35,6;35,6;35,6;35,6;35,6
165;35,6;35,6;35,6;35,6;35,6;35,6;35,6
166;35,6;35,6;35,6;35,6;35,6;35,6;35,6
167;35,6;35,6;35,6;35,6;35,6;35,6;35,6
168;35,6;35,6;35,6;35,6;35,6;35,6;35,6
169;35,6;35,6;35,6;35,6;35,6;35,6;35,6
170;35,6;35,6;35,6;35,6;35,6;35,6;35,6
171;35,6;35,6;35,6;35,6;35,6;35,6;35,6
172;35,6;35,6;35,6;35,6;35,6;35,6;35,6
173;35,6;35,6;35,6;35,6;35,6;35,6;35,6
174;35,6;35,6;35,6;35,6;35,6;35,6;35,6
175;35,6;35,6;35,6;35,6;35,6;35,6;35,6
176;35,6;35,6;35,6;35,6;35,6;35,6;35,6
177;35,6;35,6;35,6;35,6;35,6;35,6;35,6
178;35,6;35,6;35,6;35,6;35,6;35,6;35,6
179;35,6;35,6;35,6;35,6;35,6;35,6;35,6
180;35,6;35,6;35,6;35,6;35,6;35,6;35,6
181;35,6;35,6;35,6;35,6;35,6;35,6;35,6
182;35,6;35,6;35,6;35,6;35,6;35,6;35,6
183;35,6;35,6;35,6;35,6;35,6;35,6;35,6
184;35,6;35,6;35,6;35,6;35,6;35,6;35,6
185;35,6;35,6;35,6;35,6;35,6;35,6;35,6
186;35,6;35,6;35,6;35,6;35,6;35,6;35,6
187;35,6;35,6;35,6;35,6;35,6;35,6;35,6
188;35,6;35,6;35,6;35,6;35,6;35,6;35,6
189;35,6;35,6;35,6;35,6;35,6;35,6;35,6
190;35,6;35,6;35,6;35,6;35,6;35,6;35,6
191;35,6;35,6;35,6;35,6;35,6;35,6;35,6
192;35,6;35,6;35,6;35,6;35,6;35,6;35,6
193;35,6;35,6;35,6;35,6;35,6;35,6;35,6
194;35,6;35,6;35,6;35,6;35,6;35,6;35,6
195;35,6;35,6;35,6;35,6;35,6;35,6;35,6
196;35,6;35,6;35,6;35,6;35,6;35,6;35,6
197;35,6;35,6;35,6;35,6;35,6;35,6;35,6
198;35,6;35,6;35,6;35,6;35,6;35,6;35,6
199;35,6;35,6;35,6;35,6;35,6;35,6;35,6
200;35,6;35,6;35,6;35,6;35,6;35,6;35,6
201;35,6;35,6;35,6;35,6;35,6;35,6;35,6
202;35,6;35,6;35,6;35,6;35,6;35,6;35,6
203;35,6;35,6;35,6;35,6;35,6;35,6;35,6
204;35,6;35,6;35,6;35,6;35,6;35,6;35,6
205;35,6;35,6;35,6;35,6;35,6;35,6;35,6
206;35,6;35,6;35,6;35,6;35,6;35,6;35,6
207;35,6;35,6;35,6;35,6;35,6;35,6;35,6
208;35,6;35,6;35,6;35,6;35,6;35,6;35,6
209;35,6;35,6;35,6;35,6;35,6;35,6;35,6
210;35,6;35,6;35,6;35,6;35,6;35,6;35,6
211;35,6;35,6;35,6;35,6;35,6;35,6;35,6
212;35,6;35,6;35,6;35,6;35,6;35,6;35,6
213;35,6;35,6;35,6;35,6;35,6;35,6;35,6
214;35,6;35,6;35,6;35,6;35,6;35,6;35,6
215;35,6;35,6;35,6;35,6;35,6;35,6;35,6
216;35,6;35,6;35,6;35,6;35,6;35,6;35,6
217;35,6;35,6;35,6;35,6;35,6;35,6;35,6
218;35,6;35,6;35,6;35,6;35,6;35,6;35,6
219;35,6;35,6;35,6;35,6;35,6;35,6;35,6
220;35,6;35,6;35,6;35,6;35,6;35,6;35,6
221;35,6;35,6;35,6;35,6;35,6;35,6;35,6
222;35,6;35,6;35,6;35,6;35,6;35,6;35,6
223;35,6;35,6;35,6;35,6;35,6;35,6;35,6
224;35,6;35,6;35,6;35,6;35,6;35,6;35,6
225;35,6;35,6;35,6;35,6;35,6;35,6;35,6
226;35,6;35,6;35,6;35,6;35,6;35,6;35,6
227;35,6;35,6;35,6;35,6;35,6;35,6;35,6
228;35,6;35,6;35,6;35,6;35,6;35,6;35,6
229;35,6;35,6;35,6;35,6;35,6;35,6;35,6
230;35,6;35,6;35,6;35,6;35,6;35,6;35,6
231;35,6;35,6;35,6;35,6;35,6;35,6;35,6
232;35,6;35,6;35,6;35,6;35,6;35,6;35,6
233;35,6;35,6;35,6;35,6;35,6;35,6;35,6
234;35,6;35,6;35,6;35,6;35,6;35,6;35,6
235;35,6;35,6;35,6;35,6;35,6;35,6;35,6
236;35,6;35,6;35,6;35,6;35,6;35,6;35,6
237;35,6;35,6;35,6;35,6;35,6;35,6;35,6
238;35,6;35,6;35,6;35,6;35,6;35,6;35,6
239;35,6;35,6;35,6;35,6;35,6;35,6;35,6
240;35,6;35,6;35,6;35,6;35,6;35,6;35,6
241;35,6;35,6;35,6;35,6;35,6;35,6;35,6
242;35,6;35,6;35,6;35,6;35,6;35,6;35,6
243;35,6;35,6;35,6;35,6;35,6;35,6;35,6
244;35,6;35,6;35,6;35,6;35,6;35,6;35,6
245;35,6;35,6;35,6;35,6;35,6;35,6;35,6
246;35,6;35,6;35,6;35,6;35,6;35,6;35,6
247;35,6;35,6;35,6;35,6;35,6;35,6;35,6
248;35,6;35,6;35,6;35,6;35,6;35,6;35,6
249;35,6;35,6;35,6;35,6;35,6;35,6;35,6
250;35,6;35,6;35,6;35,6;35,6;35,6;35,6
251;35,6;35,6;35,6;35,6;35,6;35,6;35,6
252;35,6;35,6;35,6;35,6;35,6;35,6;35,6
253;35,6;35,6;35,6;35,6;35,6;35,6;35,6
254;35,6;35,6;35,6;35,6;35,6;35,6;35,6
255;35,6;35,6;35,6;35,6;35,6;35,6;35,6
256;35,6;35,6;35,6;35,6;35,6;35,6;35,6
257;35,6;35,6;35,6;35,6;35,6;35,6;35,6
258;35,6;35,6;35,6;35,6;35,6;35,6;35,6
259;35,6;35,6;35,6;35,6;35,6;35,6;35,6
260;35,6;35,6;35,6;35,6;35,6;35,6;35,6
261;35,6;35,6;35,6;35,6;35,6;35,6;35,6
262;35,6;35,6;35,6;35,6;35,6;35,6;35,6
263;35,6;35,6;35,6;35,6;35,6;35,6;35,6
264;35,6;35,6;35,6;35,6;35,6;35,6;35,6
265;35,6;35,6;35,6;35,6;35,6;35,6;35,6
266;35,6;35,6;35,6;35,6;35,6;35,6;35,6
267;35,6;35,6;35,6;35,6;35,6;35,6;35,6
268;35,6;35,6;35,6;35,6;35,6;35,6;35,6
269;35,6;35,6;35,6;35,6;35,6;35,6;35,6
270;35,6;35,6;35,6;35,6;35,6;35,6;35,6
271;35,6;35,6;35,6;35,6;35,6;35,6;35,6
272;35,6;35,6;35,6;35,6;35,6;35,6;35,6
273;35,6;35,6;35,6;35,6;35,6;35,6;35,6
274;35,6;35,6;35,6;35,6;35,6;35,6;35,6
275;35,6;35,6;35,6;35,6;35,6;35,6;35,6
276;35,6;35,6;35,6;35,6;35,6;35,6;35,6
277;35,6;35,6;35,6;35,6;35,6;35,6;35,6
278;35,6;35,6;35,6;35,6;35,6;35,6;35,6
279;35,6;35,6;35,6;35,6;35,6;35,6;35,6
280;35,6;35,6;35,6;35,6;35,6;35,6;35,6
281;35,6;35,6;35,6;35,6;35,6;35,6;35,6
282;35,6;35,6;35,6;35,6;35,6;35,6;35,6
283;35,6;35,6;35,6;35,6;35,6;35,6;35,6
284;35,6;35,6;35,6;35,6;35,6;35,6;35,6
285;35,6;35,6;35,6;35,6;35,6;35,6;35,6
286;35,6;35,6;35,6;35,6;35,6;35,6;35,6
287;35,6;35,6;35,6;35,6;35,6;35,6;35,6
288;35,6;35,6;35,6;35,6;35,6;35,6;35,6
289;35,6;35,6;35,6;35,6;35,6;35,6;35,6
290;35,6;35,6;35,6;35,6;35,6;35,6;35,6
291;35,6;35,6;35,6;35,6;35,6;35,6;35,6
292;35,6;35,6;35,6;35,6;35,6;35,6;35,6
293;35,6;35,6;35,6;35,6;35,6;35,6;35,6
294;35,6;35,6;35,6;35,6;35,6;35,6;35,6
295;35,6;35,6;35,6;35,6;35,6;35,6;35,6
296;35,6;35,6;35,6;35,6;35,6;35,6;35,6
297;35,6;35,6;35,6;35,6;35,6;35,6;35,6
298;35,6;35,6;35,6;35,6;35,6;35,6;35,6
299;35,6;35,6;35,6;35,6;35,6;35,6;35,6
300;35,6;35,6;35,6;35,6;35,6;35,6;35,6
301;35,6;35,6;35,6;35,6;35,6;35,6;35,6
302;35,6;35,6;35,6;35,6;35,6;35,6;35,6
303;35,6;35,6;35,6;35,6;35,6;35,6;35,6
304;35,6;35,6;35,6;35,6;35,6;35,6;35,6
305;35,6;35,6;35,6;35,6;35,6;35,6;35,6
306;35,6;35,6;35,6;35,6;35,6;35,6;35,6
307;35,6;35,6;35,6;35,6;35,6;35,6;35,6
308;35,6;35,6;35,6;35,6;35,6;35,6;35,6
309;35,6;35,6;35,6;35,6;35,6;35,6;35,6
310;35,6;35,6;35,6;35,6;35,6;35,6;35,6
311;35,6;35,6;35,6;35,6;35,6;35,6;35,6
312;35,6;35,6;35,6;35,6;35,6;35,6;35,6
313;35,6;35,6;35,6;35,6;35,6;35,6;35,6
314;35,6;35,6;35,6;35,6;35,6;35,6;35,6
315;35,6;35,6;35,6;35,6;35,6;35,6;35,6
316;35,6;35,6;35,6;35,6;35,6;35,6;35,6
317;35,6;35,6;35,6;35,6;35,6;35,6;35,6
318;35,6;35,6;35,6;35,6;35,6;35,6;35,6
319;35,6;35,6;35,6;35,6;35,6;35,6;35,6
320;35,6;35,6;35,6;35,6;35,6;35,6;35,6
321;35,6;35,6;35,6;35,6;35,6;35,6;35,6
322;35,6;35,6;35,6;35,6;35,6;35,6;35,6
323;35,6;35,6;35,6;35,6;35,6;35,6;35,6
324;35,6;35,6;35,6;35,6;35,6;35,6;35,6
325;35,6;35,6;35,6;35,6;35,6;35,6;35,6
326;35,6;35,6;35,6;35,6;35,6;35,6;35,6
327;35,6;35,6;35,6;35,6;35,6;35,6;35,6
328;35,6;35,6;35,6;35,6;35,6;35,6;35,6
329;35,6;35,6;35,6;35,6;35,6;35,6;35,6
330;35,6;35,6;35,6;35,6;35,6;35,6;35,6
331;35,6;35,6;35,6;35,6;35,6;35,6;35,6
332;35,6;35,6;35,6;35,6;35,6;35,6;35,6
333;35,6;35,6;35,6;35,6;35,6;35,6;35,6
334;35,6;35,6;35,6;35,6;35,6;35,6;35,6
335;35,6;35,6;35,6;35,6;35,6;35,6;35,6
336;35,6;35,6;35,6;35,6;35,6;35,6;35,6
337;35,6;35,6;35,6;35,6;35,6;35,6;35,6
338;35,6;35,6;35,6;35,6;35,6;35,6;35,6
339;35,6;35,6;35,6;35,6;35,6;35,6;35,6
340;35,6;35,6;35,6;35,6;35,6;35,6;35,6
341;35,6;35,6;35,6;35,6;35,6;35,6;35,6
342;35,6;35,6;35,6;35,6;35,6;35,6;35,6
343;35,6;35,6;35,6;35,6;35,6;35,6;35,6
344;35,6;35,6;35,6;35,6;35,6;35,6;35,6
345;35,6;35,6;35,6;35,6;35,6;35,6;35,6
346;35,6;35,6;35,6;35,6;35,6;35,6;35,6
347;35,6;35,6;35,6;35,6;35,6;35,6;35,6
348;35,6;35,6;35,6;35,6;35,6;35,6;35,6
349;35,6;35,6;35,6;35,6;35,6;35,6;35,6
350;35,6;35,6;35,6;35,6;35,6;35,6;35,6
351;35,6;35,6;35,6;35,6;35,6;35,6;35,6
352;35,6;35,6;35,6;35,6;35,6;35,6;35,6
353;35,6;35,6;35,6;35,6;35,6;35,6;35,6
354;35,6;35,6;35,6;35,6;35,6;35,6;35,6
355;35,6;35,6;35,6;35,6;35,6;35,6;35,6
356;35,6;35,6;35,6;35,6;35,6;35,6;35,6
357;35,6;35,6;35,6;35,6;35,6;35,6;35,6
358;35,6;35,6;35,6;35,6;35,6;35,6;35,6
359;35,6;35,6;35,6;35,6;35,6;35,6;35,6
360;35,6;35,6;35,6;35,6;35,6;35,6;35,6
361;35,6;35,6;35,6;35,6;35,6;35,6;35,6
362;35,6;35,6;35,6;35,6;35,6;35,6;35,6
363;35,6;35,6;35,6;35,6;35,6;35,6;35,6
364;35,6;35,6;35,6;35,6;35,6;35,6;35,6
365;35,6;35,6;35,6;35,6;35,6;35,6;35,6
366;35,6;35,6;35,6;35,6;35,6;35,6;35,6
367;35,6;35,6;35,6;35,6;35,6;35,6;35,6
368;35,6;35,6;35,6;35,6;35,6;35,6;35,6
369;35,6;35,6;35,6;35,6;35,6;35,6;35,6
370;35,6;35,6;35,6;35,6;35,6;35,6;35,6
371;35,6;35,6;35,6;35,6;35,6;35,6;35,6
372;35,6;35,6;35,6;35,6;35,6;35,6;35,6
373;35,6;35,6;35,6;35,6;35,6;35,6;35,6
374;35,6;35,6;35,6;35,6;35,6;35,6;35,6
375;35,6;35,6;35,6;35,6;35,6;35,6;35,6
376;35,6;35,6;35,6;35,6;35,6;35,6;35,6
377;35,6;35,6;35,6;35,6;35,6;35,6;35,6
378;35,6;35,6;35,6;35,6;35,6;35,6;35,6
379;35,6;35,6;35,6;35,6;35,6;35,6;35,6
380;35,6;35,6;35,6;35,6;35,6;35,6;35,6
381;35,6;35,6;35,6;35,6;35,6;35,6;35,6
382;35,6;35,6;35,6;35,6;35,6;35,6;35,6
383;35,6;35,6;35,6;35,6;35,6;35,6;35,6
384;35,6;35,6;35,6;35,6;35,6;35,6;35,6
385;35,6;35,6;35,6;35,6;35,6;35,6;35,6
386;35,6;35,6;35,6;35,6;35,6;35,6;35,6
387;35,6;35,6;35,6;35,6;35,6;35,6;35,6
388;35,6;35,6;35,6;35,6;35,6;35,6;35,6
389;35,6;35,6;35,6;35,6;35,6;35,6;35,6
390;35,6;35,6;35,6;35,6;35,6;35,6;35,6
391;35,6;35,6;35,6;35,6;35,6;35,6;35,6
392;35,6;35,6;35,6;35,6;35,6;35,6;35,6
393;35,6;35,6;35,6;35,6;35,6;35,6;35,6
394;35,6;35,6;35,6;35,6;35,6;35,6;35,6
395;35,6;35,6;35,6;35,6;35,6;35,6;35,6
396;35,6;35,6;35,6;35,6;35,6;35,6;35,6
397;35,6;35,6;35,6;35,6;35,6;35,6;35,6
398;35,6;35,6;35,6;35,6;35,6;35,6;35,6
399;35,6;35,6;35,6;35,6;35,6;35,6;35,6
400;35,6;35,6;35,6;35,6;35,6;35,6;35,6
401;35,6;35,6;35,6;35,6;35,6;35,6;35,6
402;35,6;35,6;35,6;35,6;35,6;35,6;35,6
403;35,6;35,6;35,6;35,6;35,6;35,6;35,6
404;35,6;35,6;35,6;35,6;35,6;35,6;35,6
405;35,6;35,6;35,6;35,6;35,6;35,6;35,6
406;35,6;35,6;35,6;35,6;35,6;35,6;35,6
407;35,6;35,6;35,6;35,6;35,6;35,6;35,6
408;35,6;35,6;35,6;35,6;35,6;35,6;35,6
409;35,6;35,6;35,6;35,6;35,6;35,6;35,6
410;35,6;35,6;35,6;35,6;35,6;35,6;35,6
411;35,6;35,6;35,6;35,6;35,6;35,6;35,6
412;35,6;35,6;35,6;35,6;35,6;35,6;35,6
413;35,6;35,6;35,6;35,6;35,6;35,6;35,6
414;35,6;35,6;35,6;35,6;35,6;35,6;35,6
415;35,6;35,6;35,6;35,6;35,6;35,6;35,6
416;35,6;35,6;35,6;35,6;35,6;35,6;35,6
417;35,6;35,6;35,6;35,6;35,6;35,6;35,6
418;35,6;35,6;35,6;35,6;35,6;35,6;35,6
419;35,6;35,6;35,6;35,6;35,6;35,6;35,6
420;35,6;35,6;35,6;35,6;35,6;35,6;35,6
421;35,6;35,6;35,6;35,6;35,6;35,6;35,6
422;35,6;35,6;35,6;35,6;35,6;35,6;35,6
423;35,6;35,6;35,6;35,6;35,6;35,6;35,6
424;35,6;35,6;35,6;35,6;35,6;35,6;35,6
425;35,6;35,6;35,6;35,6;35,6;35,6;35,6
426;35,6;35,6;35,6;35,6;35,6;35,6;35,6
427;35,6;35,6;35,6;35,6;35,6;35,6;35,6
428;35,6;35,6;35,6;35,6;35,6;35,6;35,6
429;35,6;35,6;35,6;35,6;35,6;35,6;35,6
430;35,6;35,6;35,6;35,6;35,6;35,6;35,6
431;35,6;35,6;35,6;35,6;35,6;35,6;35,6
432;35,6;35,6;35,6;35,6;35,6;35,6;35,6
433;35,6;35,6;35,6;35,6;35,6;35,6;35,6
434;35,6;35,6;35,6;35,6;35,6;35,6;35,6
435;35,6;35,6;35,6;35,6;35,6;35,6;35,6
436;35,6;35,6;35,6;35,6;35,6;35,6;35,6
437;35,6;35,6;35,6;35,6;35,6;35,6;35,6
438;35,6;35,6;35,6;35,6;35,6;35,6;35,6
439;35,6;35,6;35,6;35,6;35,6;35,6;35,6
440;35,6;35,6;35,6;35,6;35,6;35,6;35,6
441;35,6;35,6;35,6;35,6;35,6;35,6;35,6
442;35,6;35,6;35,6;35,6;35,6;35,6;35,6
443;35,6;35,6;35,6;35,6;35,6;35,6;35,6
444;35,6;35,6;35,6;35,6;35,6;35,6;35,6
445;35,6;35,6;35,6;35,6;35,6;35,6;35,6
446;35,6;35,6;35,6;35,6;35,6;35,6;35,6
447;35,6;35,6;35,6;35,6;35,6;35,6;35,6
448;35,6;35,6;35,6;35,6;35,6;35,6;35,6
449;35,6;35,6;35,6;35,6;35,6;35,6;35,6
450;35,6;35,6;35,6;35,6;35,6;35,6;35,6
451;35,6;35,6;35,6;35,6;35,6;35,6;35,6
452;35,6;35,6;35,6;35,6;35,6;35,6;35,6
453;35,6;35,6;35,6;35,6;35,6;35,6;35,6
454;35,6;35,6;35,6;35,6;35,6;35,6;35,6
455;35,6;35,6;35,6;35,6;35,6;35,6;35,6
456;35,6;35,6;35,6;35,6;35,6;35,6;35,6
457;35,6;35,6;35,6;35,6;35,6;35,6;35,6
458;35,6;35,6;35,6;35,6;35,6;35,6;35,6
459;35,6;35,6;35,6;35,6;35,6;35,6;35,6
460;35,6;35,6;35,6;35,6;35,6;35,6;35,6
461;35,6;35,6;35,6;35,6;35,6;35,6;35,6
