id;electricity_2020;electricity_2025;electricity_2030;electricity_2035;electricity_2040;electricity_2045;electricity_2050
0;105,41;113,86;95,5;108,6;116,07;154,85;156,11
1;104,574;113,85;95,5;111,31;118,95;154,64;160,23
2;103,712;113,73;97,09;108,92;121,54;157,33;163,82
3;104,592;113,85;98,05;109,74;128,18;157,33;160,14
4;104,582;113,88;107,6;112,86;131,82;157,33;160,37
5;104,996;114,8;104,21;119,84;128,18;157,64;163,82
6;105,506;114,65;102,91;114,38;128,18;157,64;160,37
7;106,1;115,72;112,73;118,19;128,18;157,64;163,82
8;107,102;116,41;110,54;120,51;134,53;160;162,95
9;108,724;117,29;110,54;126,69;141,92;162,87;160,12
10;109,736;118,16;115,06;128,53;144,9;165,21;160,28
11;111,122;119,76;114,52;126,97;145,72;157,64;162,95
12;111,16;119,9;124,34;125,78;141,92;161,71;163,6
13;113,706;121,68;125,59;133,79;151,28;161,71;161,55
14;114,362;122,03;130,31;133,91;151,14;162,87;160,37
15;120,024;126,71;140,31;135,45;149,01;163,18;160,14
16;129,134;134,77;142,8;148,66;154,6;163,18;162,95
17;135,076;139,83;144,85;151,4;157,84;162,87;163,6
18;135,258;139,64;146,31;151,47;162,1;165,42;161,55
19;119,522;126,76;148,35;151,22;162,05;167,66;162,95
20;122,788;129,59;144,35;151,66;157,69;166,43;163,6
21;117,746;125,78;144,84;151,53;156,81;168,45;165,95
22;117,412;125,11;144,35;151,66;157,84;171,63;163,6
23;116,904;125,11;148,94;151,66;157,69;168,45;166,14
24;122,788;129,59;144,85;151,66;156,82;171,63;163,6
25;122,944;129,72;144,85;151,66;157,69;165,21;163,6
26;119,888;126,62;144,85;151,66;157,69;166,75;160,28
27;123,012;129,72;145,12;152,6;157,03;161,84;163,26
28;123,268;129,72;145,5;151,66;157,85;162,88;161,98
29;135,132;139,3;146,96;151,22;157,03;162,55;160,14
30;175,824;173,73;148,96;155,96;157,69;167,57;163,26
31;198,288;191,93;148,96;154,59;159,44;166,39;160,14
32;182,392;179,26;148,36;154,64;157,85;166,39;163,6
33;182,522;179,26;144,85;154,59;157,85;166,61;162,95
34;153,374;154,97;148,96;151,54;160,36;167,57;162,95
35;140,164;143,8;146,86;151,65;157,85;171,33;161,98
36;141,854;145,37;148,96;151,54;157,85;167,26;162,95
37;175,756;173,73;146,65;151,54;160,36;171,63;163,6
38;182,392;179,26;149,27;151,66;162,02;167,26;163,6
39;198,94;193,05;158,45;156,56;161,26;169,76;163,6
40;211,73;203,51;166,32;157,62;162,84;172,32;162,41
41;220,692;211,12;160,38;160,55;162,22;165,21;163,26
42;199,13;193,1;160,38;165,89;165,58;167,43;162,95
43;197,596;191,93;148,96;160,55;165,58;169,76;163,6
44;166,768;166,24;148,96;156,41;163,59;171,63;163,6
45;138,892;143,01;148,36;155,98;161,94;171,63;163,6
46;122,788;129,59;146,86;151,65;157,69;167,26;163,6
47;117,698;125,15;137,87;148,6;151,44;163,34;162,41
48;117,29;123,76;123,44;133,92;148,23;157,64;156,11
49;115,072;121,86;115,95;133,81;138,31;153,08;155,8
50;116,27;121,86;112,79;123,53;125,08;138,46;149,81
51;120,148;123,25;107,88;113,58;121,49;131,51;138,76
52;119,42;123,53;112,11;116,04;118,39;131,51;144,08
53;123,868;126,35;112,79;109,05;118,39;128,36;138,76
54;141,476;141,29;117,92;118,11;120,36;127,52;140,36
55;158,752;156,75;113,96;112,07;113,54;122,04;146,74
56;152,534;143,87;107,88;97,07;101,8;99,97;100,55
57;135,95;129,5;99,52;92,99;95,8;94,4;97,25
58;126,534;121,56;97,11;91,62;95,8;96,89;96,69
59;125,266;120,85;95,74;92,99;97,86;96,32;98,77
60;124,74;120,33;97,75;93,17;97,99;97,77;98,28
61;124,872;120,56;99,52;93;99,47;99,24;99
62;130,514;125,52;103,61;93,17;99,46;99,23;100,55
63;135,136;129,41;105,33;94;100,02;99,74;100,78
64;139,952;133,61;106,66;94;100,02;99,79;101,9
65;139,31;133,52;108,02;94,33;101,15;101,54;104,57
66;129,636;125,33;107,88;93,95;101,8;101,88;103,8
67;124,868;121,65;108,02;94,57;102,12;101,77;105,56
68;123,484;120,85;107,88;95,15;102,12;104,66;107,68
69;115,77;119,11;106,66;95,18;104,91;102,15;135,81
70;111,184;117,11;106,86;95,18;104,17;104,8;146,74
71;118,638;117,11;105,57;95,48;105,84;106,26;109,47
72;118,214;116,05;107,89;96,43;105,07;104,8;105,23
73;112,914;116,87;110,33;98,09;105,07;105,59;136,65
74;117,312;116,05;105,57;96,51;105,05;108,74;109,74
75;116,628;115,48;106,7;97,4;105,84;104,82;109,74
76;118,346;116,05;104,13;97,4;104,91;104,7;104,57
77;117,656;115,67;110,57;97,4;105,05;105,59;105,74
78;114,354;117,03;116,61;98,22;105,05;104,8;130,41
79;118,9;117,03;117,85;101,9;106,52;102,9;107,68
80;121,334;119,65;117,85;101,97;106,46;104,82;111,23
81;124,1;121,01;117,85;106,12;108,14;105,59;105,56
82;124,23;121,77;118,57;116,95;109,12;105,59;109,47
83;125,012;121,77;120,85;123,54;109,31;106,59;105,56
84;124,756;121,77;119,31;129,32;118,41;108,74;106,84
85;115,178;121,42;119,31;129,38;127,63;141,6;152,63
86;115,948;122,59;119,36;133,82;134,06;153,29;155,8
87;126,4;131,3;130,35;132,7;134,06;156,54;155,8
88;138,856;141,68;132,84;133,82;140,08;155,66;155,8
89;151,304;145,2;132,84;125,12;125,09;124,48;114,68
90;132,508;136,39;117,85;102,2;108,4;106,59;155,8
91;115,076;121,48;112,82;99,53;108,4;108,74;153,5
92;114,71;120,16;108,97;98,22;109,12;127,89;147,41
93;111,676;119,03;107,62;99,89;111,12;115,81;155,8
94;109,132;116,91;104,13;101,9;113,34;147,68;155,8
95;106,766;114,99;106,26;105,96;128,19;151,72;156,11
96;102,96;112,14;104,8;108,54;112,05;156,74;158,04
97;102,194;111,39;104,14;106,31;113,34;151,36;157,37
98;99,518;108,95;104,14;106,12;113,7;147,77;156,11
99;98,708;108,97;104,8;109,05;112,43;145,98;160,28
100;99,052;109,23;107,9;117,26;111,02;155,04;160,12
101;98,896;109,1;103,63;129,33;121,67;154,63;160,12
102;99,926;110,74;107,13;128,53;120,37;157,33;164,81
103;100,798;111,3;104,14;133,83;131,82;157,33;163,81
104;100,598;111,3;106,81;133,83;132,14;157,64;164,81
105;101,056;111,48;104,8;136,26;132,01;158,54;163,6
106;104,476;114,33;108,67;133,83;143,46;157,48;163,6
107;104,608;114,44;107,9;128,29;138,01;157,64;163,6
108;103,966;114,33;104,14;134,35;145,74;161,64;166,15
109;106,918;116,79;107,9;129,33;137,22;159,59;166,15
110;107,62;116,95;108,98;132,71;141,94;157,64;163,6
111;111,472;120,16;113,98;145,89;151,16;161,35;163,6
112;116,992;124,76;117,86;151,53;151,32;162,89;163,6
113;118,206;126,17;117,86;148,04;157,71;161,84;165,99
114;118,684;126,17;117,86;148,04;154,36;161,69;163,6
115;118,912;126,36;117,86;148,62;151,32;161,94;163,6
116;119,134;126,58;113,87;148,62;156,04;162,89;163,81
117;118,206;126,17;115,06;149,95;157,71;165,11;165,99
118;112,646;121,34;114,63;135,26;155,44;162,89;164,81
119;109,978;118,95;107,9;137,28;148,91;157,64;163,81
120;109,61;118,5;104,15;132,18;132,14;157,64;162,95
121;109,276;117,75;103,65;129,33;132,14;157,48;160,12
122;110,392;118,68;99,96;123,55;131,97;155,66;160,12
123;111,194;118,68;98,45;128,53;130,36;146,17;156,11
124;110,392;118,68;98,45;114,81;125,09;155,66;160,12
125;118,382;124,67;98,45;119,52;137,04;157,33;156,11
126;139,104;142,61;98,45;119,52;148,25;159,79;160,14
127;175,492;172,93;98,45;123,55;151,13;161,69;160,12
128;153,496;153,88;104,15;117,78;123,82;141,59;155,8
129;134,69;129,67;97,13;103,8;109,12;105,59;104,57
130;129,448;124,67;94,07;97,4;103,84;101,56;100,78
131;129,46;124,67;94,3;98,09;103,15;101,71;100,72
132;130,28;125,72;95,59;98,09;104,18;100,91;102,92
133;137,524;131,4;96,68;98,97;102,4;101,56;100,78
134;163,1;152,9;98,45;101,91;103,15;101,56;101,9
135;178,54;165,78;102,95;100,92;102,7;102,9;101,98
136;195,488;180,06;107,91;100,85;103,15;101,88;102,92
137;186,846;172,93;107,91;99,9;102,4;102,15;103,35
138;172,672;161,19;107,91;98,97;101,99;102,15;103,78
139;159,328;149,57;98,45;96,44;100,22;99,97;100,78
140;146,848;139,16;94,77;95,33;99,66;99,23;100,72
141;129,088;124,36;93,12;94,01;99,01;99,24;100,72
142;123,838;119,99;97,78;93,35;99,48;99,6;100,75
143;122,488;119,07;96,68;93,01;99,47;99,97;101,98
144;123,232;119,99;97,28;93;99,47;100,16;103,78
145;122,676;119,99;98,47;93,36;100,55;101,74;106,56
146;123,698;120,51;99,99;93,7;100,22;102,15;104,57
147;124,294;121,17;103,4;93,7;101,16;104,66;105,55
148;121,468;123,41;103,67;95,17;102;102,98;133,12
149;122,254;126,23;104,16;95,2;102;104,82;146,11
150;147,134;146,75;112,25;95,17;103,24;104,69;144,83
151;158,764;158,27;114,31;95,33;105,86;105,59;155,8
152;158,884;158,37;116,72;96,52;105,86;112,16;155,8
153;154,574;154,83;116,72;97,09;104,92;115,31;156,11
154;154,324;154,57;114,31;98,1;103,84;122,27;155,8
155;139,852;142,51;114,31;98,97;104,92;110,54;155,8
156;136,492;139,71;114,31;98,13;104,92;119,79;155,8
157;153,904;154,22;114,46;98,24;105,86;112,16;155,8
158;172,36;169,6;119,34;98,1;105,06;121,2;155,8
159;198,244;191,17;131,21;97,41;104,96;106,26;155,8
160;207,76;199,1;144,43;98,7;105,08;106,26;155,8
161;231,808;219,14;148,37;103,61;105,06;107,6;155,8
162;232,168;219,44;152,78;132,72;111,02;115,81;155,8
163;205,046;198,03;157,16;148,2;146,84;153,07;162,95
164;200,396;195,76;160,9;151,7;156,05;159,79;172,58
165;199,172;194,95;198,82;156,53;157,63;165,2;173,84
166;179,72;178,64;175,64;160,12;153,46;165,42;173,24
167;170,156;170,77;157,16;156,55;152,26;161,94;173,84
168;151,5;154,54;154,26;153,88;149,23;161,68;169,74
169;151,672;153,66;151,31;154,85;148,27;159,79;163,6
170;151,454;153,66;147,7;150,35;132,15;157,33;164,69
171;143,958;146,65;144,94;145,9;124,79;138,48;160,11
172;153,17;153,66;144,44;145,9;123,83;130,38;156,11
173;186,418;179,7;153,33;154,85;109,01;107,6;146,11
174;205,848;194,67;156,48;156,54;105,06;102,98;138,78
175;235,502;214,01;154,26;151,6;103,16;101,71;106,55
176;213,388;194,82;142,88;133,86;101,96;100,15;101,98
177;177,47;164,27;112,93;101,36;99,48;98,2;98,27
178;170,308;158,04;112,93;102,21;99,65;98,99;96,7
179;157,034;146,94;112,27;99,91;99,65;99,22;96,47
180;163,97;152,72;112,93;101,12;99,99;98,77;96,47
181;173,206;160,64;112,93;103,62;99,99;99,36;97,81
182;181,624;167,56;114,49;103,81;99,85;99,39;97,24
183;214,336;194,82;138,65;105,98;100,22;99,78;97,24
184;243,814;219,48;144,94;105,28;100,41;99,78;97,81
185;228,89;207,18;144,93;128,54;101,82;100,91;98,63
186;209,678;191,14;142,32;118,87;103,16;101,88;98,45
187;178,802;165,55;138,45;132,72;102,71;102,98;99,29
188;168,82;157,68;136,76;133,86;102;102,98;101,98
189;147,49;139,7;126,69;132,72;103,16;103,92;100,75
190;143,092;136,24;119,35;133,86;104,19;107,6;101,98
191;138,936;133,08;119,35;132,72;104,96;106,78;103,8
192;138,074;133,35;120,88;133,87;105,86;110,52;109,73
193;140,13;134,58;132,41;133,97;108,42;109,97;106,83
194;139,572;139,68;130,82;133,97;111,03;131,69;140,22
195;138,392;139,68;132,9;133,97;113,36;135,49;146,12
196;146,636;146,55;142,33;137,3;120,02;150,14;146,12
197;146,656;148,18;142;139,4;134,36;151,13;155,8
198;184,786;179,98;144,38;142,49;148,28;159,79;155,95
199;197,768;191,18;151,32;149,99;148,28;161,12;158,24
200;183,01;179,22;151,32;154,85;149,04;161,73;160,27
201;164,8;164,6;151,48;153,88;151,35;162,92;163,6
202;156,944;158,35;151,32;152,63;151,35;162,92;165,38
203;160,058;160,85;153,34;154,85;157,89;162,92;164,81
204;168,976;167,54;153,34;156,46;157,89;161,93;160,36
205;181,87;179,22;150,01;156,46;151,35;161,93;165,97
206;209,39;201,96;151,32;159,51;151,15;162,92;164,81
207;273,516;255,34;195,35;163,99;164,97;162,92;164,46
208;733,162;638,63;285,75;201,63;172,07;170,59;165,97
209;3566,806;3000;315,22;181,59;175,39;171,63;165,97
210;661,318;578,76;269,64;197,64;172,07;171,63;165,97
211;282,322;262,93;214,26;181,76;172,07;171,63;165,97
212;222,138;212,81;195,35;174,88;172,07;171,63;166,17
213;209,682;202,43;187,63;168,54;172,07;171,63;166,17
214;180,88;178,39;153,34;160,07;166,85;165,2;165,94
215;152,246;153,56;144,95;154,85;154,53;160,88;160,13
216;152,114;153,45;145,24;150,43;148,28;158,18;160,13
217;152,492;153,45;144,97;151,71;148,28;158,57;158,24
218;148,388;150,03;144,97;148,8;148,28;158,57;158,24
219;148,388;150,03;147,04;151,58;148,92;161,7;158,24
220;152,018;153,37;147,12;151,71;151,36;161,7;160,13
221;175,828;174,22;154,29;160,08;162,13;161,93;166,18
222;218,116;210,09;196,9;167,19;166,86;167,51;169,96
223;227,596;217,36;178,36;160,89;158,05;161,7;166,18
224;197,344;190,86;144,97;149,98;134,57;157,5;158,44
225;173,842;170,86;145,24;149,98;138,35;155,97;155,95
226;173,872;170,86;142,91;142,49;113,52;110,54;155,8
227;163,56;159,67;142,57;139,53;108,42;104,81;140,22
228;168,862;158,31;142,34;144,8;109,14;106,59;105,55
229;167,432;161,68;141,77;133,98;106,48;106,59;132,92
230;179,13;169,24;139,91;144,8;106,48;102,98;119,79
231;196,12;180,86;147,72;133,88;105,87;102,98;104,56
232;206,464;189,05;144,96;123,45;105,07;102,98;101,98
233;214,528;195,77;143,1;102,41;104,27;102,98;101,98
234;185,046;171,02;142,44;101,37;103,16;101,7;100,89
235;163,762;153,45;117,95;99,92;102,14;101,7;101,89
236;147,738;139,66;114,4;98,24;100,56;99,97;99,27
237;141,71;134,56;107,95;95,66;99,5;98,99;98,81
238;124,082;119,74;93,55;93,76;98,45;97,65;98,03
239;120,972;116,39;90,49;92,79;95,88;94,39;93,48
240;116,976;113,06;88,05;89,56;94,02;94,39;93,48
241;111,672;108,64;87,99;68,95;73,73;88,34;93,48
242;106,948;104,2;87,87;68,95;73,73;73,55;90,46
243;104,536;102,19;88,02;68,95;73,73;73,55;90,46
244;101,33;99,28;88,02;68,95;73,73;73,55;89,03
245;101,788;99,9;87,87;68,95;73,73;73,55;90,46
246;104,568;99,28;87,87;68,95;73,73;73,55;72,84
247;104,568;99,28;87,3;68,95;49,85;73,55;72,84
248;119,88;99,9;86,78;36,45;0;0;0
249;106,584;88,82;85,86;0;0;0;0
250;105,468;87,89;85,45;0;0;0;0
251;106,476;88,73;84,58;0;0;0;0
252;106,584;88,82;84,58;0;0;0;0
253;105,216;87,68;84,58;0;0;0;0
254;106,476;88,73;84,58;0;0;0;0
255;106,584;88,82;84,58;0;0;0;0
256;106,584;88,82;82,08;0;0;0;0
257;106,584;88,82;81,13;0;0;0;0
258;106,476;88,73;63,62;0;0;0;0
259;98,376;81,98;63,62;0;0;0;0
260;98,376;81,98;45,76;0;0;0;0
261;98,376;81,98;46,89;0;0;0;0
262;98,376;81,98;63,62;0;0;0;0
263;95,952;79,96;46,89;0;0;0;0
264;92,928;77,44;34,07;0;0;0;0
265;88,728;73,94;0;0;0;0;0
266;85,356;71,13;0;0;0;0;0
267;85,164;70,97;0;0;0;0;0
268;85,356;71,13;0;0;0;0;0
269;85,164;70,97;0;0;0;0;0
270;85,164;70,97;0;0;0;0;0
271;85,356;71,13;0;0;0;0;0
272;85,356;71,13;0;0;0;0;0
273;87,576;72,98;0;0;0;0;0
274;87,576;72,98;0;0;0;0;0
275;88,728;73,94;0;0;0;0;0
276;88,728;73,94;0;0;0;0;0
277;91,74;76,45;0;0;0;0;0
278;91,74;76,45;0;0;0;0;0
279;92,076;76,73;0;0;0;0;0
280;95,952;79,96;7,58;0;0;0;0
281;98,34;81,95;38,75;0;0;0;0
282;95,952;79,96;42,51;0;0;0;0
283;98,34;81,95;63,62;0;0;0;0
284;81,384;79,96;63,62;0;0;0;72,84
285;83,772;81,95;63,62;0;0;0;72,84
286;83,772;81,95;63,62;0;0;0;72,84
287;83,772;81,95;63,62;0;0;0;72,84
288;83,736;81,92;63,63;0;0;0;72,84
289;83,736;81,92;63,63;0;0;71,81;72,84
290;83,736;81,92;63,63;0;61,43;73,55;72,84
291;79,608;81,92;79,05;43,88;63,7;73,55;93,48
292;79,608;81,92;84,32;68,96;67,4;73,55;93,48
293;88,056;88,96;84,48;68,96;73,74;93,77;93,48
294;108,292;106,32;85,66;68,96;73,74;94,39;96,46
295;112,466;110,13;85,87;68,96;94,65;94,87;98,45
296;118,106;114,76;86,5;68,96;97,92;97,76;98,03
297;115,706;112,93;87,88;90,84;99,49;99,39;99,05
298;117,954;114,95;88,39;92,8;100,43;99,74;99,93
299;120,386;117,18;90,56;93,55;101,81;100,7;101,15
300;123,482;120,66;90,7;93,55;102,73;102,97;106,55
301;128,284;124,2;93,11;94,21;103,26;102,15;103,78
302;134,598;138,13;94,93;95,51;104,21;103,92;155,79
303;157,398;157,13;98,02;96,54;106,88;127,88;155,79
304;182,646;179,47;103,45;98,99;118,76;134,22;163,59
305;193,78;188,95;103,76;103,63;132,18;157,51;164,8
306;171,04;170,86;110,66;106,15;149,25;161,68;169,96
307;164,978;165,18;114,63;108,65;154,6;161,68;166,19
308;150,032;153,13;118,01;115,72;154,6;161,73;168,62
309;127,408;134,5;122,52;123,02;157,52;161,68;169,96
310;119,964;128,51;134,69;123,46;157,75;164,05;171,24
311;119,594;128,64;140,05;129,37;157,75;165,2;173,87
312;119,68;129,03;142,51;124,46;156,88;165,2;175,78
313;124,848;132,58;142,96;133,1;157,76;167,13;171,24
314;125,18;133,56;142,96;129,37;157,76;165,2;175,46
315;129,74;136,99;147,13;132,8;158,07;165,2;173,24
316;125,624;133,56;145,19;133,92;158,41;165,2;173,24
317;139,896;145,12;145,19;133,92;157,76;165,2;171,24
318;193,736;190,32;152,99;126,69;157,76;166,42;173,24
319;216,984;209,36;169,19;133,92;157,76;165,2;171,24
320;275,788;259,12;163,38;133,31;157,76;165,41;175,78
321;218,088;211,2;177,29;133,92;157,1;161,83;176,76
322;258,06;243,59;170,38;133,92;157,76;165,2;171,24
323;276,696;259,12;167,06;141,37;151,17;164,54;171,24
324;276,696;259,12;173,06;148,74;154,94;162,28;171,24
325;255,396;241,37;212,39;146,88;151,4;162,28;171,24
326;642,244;564,5;239,39;148,29;157,1;161,7;175,78
327;609,44;536,74;251,3;151,55;157,76;161,84;173,24
328;3564,254;3000;3000;151,74;162,15;165,2;178,73
329;3564,844;3000;3000;155,56;162,17;165,2;175,78
330;3564,844;3000;239,39;155,56;158,07;165,2;175,78
331;204,432;198,9;179,99;151,61;157,76;160,59;171,24
332;179,076;177,77;169,19;156,03;148,48;157,32;171,24
333;195,134;191,43;148,52;148,67;132,05;157,32;172,91
334;138,244;143,53;148,52;143,51;132,18;157,32;169,96
335;133,504;139,58;148,52;148,67;126,47;156,66;169,96
336;134,232;139,56;146,49;138,33;129,47;127,88;166,2
337;145,59;149,65;146,49;139,56;127,61;127,88;169,95
338;134,476;139,56;148,54;151,74;116,13;130,9;164,98
339;133,77;139,56;148,54;135,12;116,13;127,88;168,51
340;134,754;139,56;148,54;138,33;116,13;130,37;163,59
341;133,482;139,56;143,46;143,52;115,8;126,12;169,95
342;195,858;191,3;148,34;154,28;118,21;125,39;168,51
343;206,91;199,69;170,7;166,43;116,13;120,43;163,59
344;196,564;191,3;148,54;143,52;116,13;127,53;164,98
345;163,698;164,74;148,54;148,68;116,13;126,12;169,95
346;150,966;154,13;143,76;145,94;116,13;125,39;169,95
347;143,706;148,08;142,97;144,43;116,13;131,81;169,95
348;136,518;141,03;149,45;139,38;116,13;137,98;163,59
349;155,104;156,75;140,05;151,01;118,16;134,92;164,98
350;194,028;189,39;148,54;148,68;120,42;125,39;166,2
351;211,572;203,61;170,7;166,43;123,67;137,98;163,8
352;3566,01;3000;170,7;166,43;121,98;130,9;169,95
353;589,794;519,58;170,7;166,43;120,42;142,83;168,51
354;203,928;197,64;158;156,49;120,42;144,44;166,2
355;178,26;175,85;147,35;154,28;116,67;144,44;163,8
356;149,646;151,97;145,41;151,72;116,67;141,59;163,59
357;176,332;174,1;128,66;143,52;116,13;125,39;162,94
358;133,44;136,89;118,04;123,59;116,67;115,8;154,14
359;124,484;122,85;118,04;116,01;109;110,48;114,68
360;123,018;120,46;108,91;114,88;106,84;105,59;107,67
361;124,036;120,66;106,2;114,88;106,89;106,77;103,78
362;124,414;120,66;106,2;108,66;105,11;103,92;101,89
363;124,098;120,41;106,2;103,94;105,89;103,47;101,97
364;124,17;120,47;106,13;103,74;105,89;104,65;101,97
365;127,476;122,76;106,92;102,07;105,89;104,69;99,18
366;147,796;139,54;108,91;101,95;105,11;102,89;98,26
367;146,466;138,19;109,4;101,95;103,88;102,97;96,81
368;140,334;133,08;106,35;96,55;100,53;100,88;96,81
369;133,876;127,77;103,36;95,78;100,3;100,91;97,24
370;130,89;125,21;103,36;96,55;100,3;100,02;96,81
371;131,02;125,39;100,71;95,4;100,3;99,78;97,24
372;129,558;124,1;101,73;95,42;100,3;99,23;96,81
373;130,968;125,44;100,3;95,78;100,25;98,76;97,8
374;134,634;128,33;100,23;96,48;100,3;99,23;96,81
375;142,108;134,63;98;95,68;100,3;99,39;97,24
376;150,608;141,62;108,91;95,52;100,3;99,23;96,68
377;164,01;152,81;113,98;95,4;100,3;99,22;96,81
378;148;139,54;113,17;95,36;100,3;99,22;97,24
379;141,728;134,22;100,3;95,4;100,58;99,22;96,68
380;134,704;128,33;96,36;95,36;100,3;98,99;96,46
381;131,394;125,39;95,97;95,23;100,25;98,99;95,37
382;124,192;119,15;95,68;94,04;100,25;98,76;93,94
383;119,424;115,51;95;94,59;99,7;99,22;95,94
384;117,036;113,52;92,22;93,91;99,7;98,99;95,94
385;115,04;111,64;91,95;93,56;99,68;98,99;94,64
386;114,994;111,76;92,27;93,39;99,7;98,99;95,59
387;114,82;111,76;91,95;93,39;99,7;99,22;96,46
388;115,184;111,76;92,27;93,52;99,7;99,22;94,64
389;117,16;113,71;92,27;93,52;98,48;99,22;96,46
390;127,924;122,68;95,86;95,23;99,89;98,76;96,46
391;134,992;128,15;95,02;94,05;98,48;98,19;93,94
392;128,008;122,33;91,95;93,22;97,79;96,53;93,94
393;123,062;118,13;91,95;93,05;94,76;94,39;93,47
394;121,526;116,85;89,14;89,56;73,74;73,55;93,47
395;121,526;116,85;88,42;87,06;73,74;73,55;93,47
396;121,526;116,85;89,07;68,97;73,74;73,55;93,47
397;122,414;117,59;89,14;68,97;73,74;73,55;93,47
398;122,774;117,89;88,42;87,92;73,74;73,55;93,47
399;124,562;119,38;88,68;68,97;73,74;73,55;93,47
400;125,69;120,32;89,66;71,45;73,74;73,55;93,47
401;128,366;122,55;89,14;68,97;73,74;73,55;93,47
402;124,19;119,07;88,42;87,06;73,74;73,55;93,47
403;118,262;114,13;88,07;68,97;73,74;73,55;93,47
404;114,938;111,36;88,04;68,97;73,74;73,55;93,47
405;113,366;109,82;86,53;68,97;73,74;73,55;92,09
406;104,084;102,06;85,9;50,36;64,6;73,55;91,94
407;92,304;89,06;82,12;0;61,54;73,55;72,84
408;83,544;81,76;63,65;0;0;59,85;72,84
409;98,112;81,76;63,65;0;0;0;0
410;98,112;81,76;63,65;0;0;0;0
411;85,096;81,76;63,65;0;0;0;65,08
412;83,908;81,76;63,65;0;0;0;71,02
413;84,894;81,76;63,65;0;0;0;66,09
414;98,112;81,76;63,65;0;0;0;0
415;97,2;81;63,65;0;0;0;0
416;98,112;81,76;63,65;0;0;0;0
417;87,186;81,76;63,65;0;0;0;54,63
418;98,112;81,76;63,65;0;0;0;0
419;83,908;81,76;63,65;0;0;0;71,02
420;83,544;81,76;63,65;0;0;0;72,84
421;83,544;81,76;63,65;0;0;0;72,84
422;83,544;81,76;63,65;0;0;0;72,84
423;86,58;84,29;63,65;0;0;0;72,84
424;108,244;102,04;84,63;0;0;0;71,02
425;107,88;102,04;63,65;0;0;0;72,84
426;91,752;88,6;63,65;0;0;0;72,84
427;83,908;81,76;63,65;0;0;0;71,02
428;98,112;81,76;63,65;0;0;0;0
429;83,544;81,76;63,65;0;0;0;72,84
430;82,632;81;63,65;0;0;0;72,84
431;95,916;79,93;63,65;0;0;0;0
432;91,704;76,42;63,65;0;0;0;0
433;87,54;72,95;63,65;0;0;0;0
434;87,54;72,95;54,01;0;0;0;0
435;85,32;71,1;55,63;0;0;0;0
436;85,32;71,1;50,78;0;0;0;0
437;74,114;72,95;53,18;0;0;0;67,13
438;74,662;72,95;53,18;0;0;0;64,39
439;80,29;77,64;60,49;0;0;0;64,39
440;81,336;79,92;63,65;0;0;0;72,84
441;95,904;79,92;61,2;0;0;0;0
442;82,478;79,92;63,65;0;0;0;67,13
443;92,892;77,41;63,65;0;0;0;0
444;85,128;70,94;0;0;0;0;0
445;85,128;70,94;0;0;0;0;0
446;87,54;72,95;0;0;0;0;0
447;91,104;75,92;0;0;0;0;0
448;92,784;77,32;0;0;0;0;0
449;95,904;79,92;54,01;0;0;0;0
450;82,478;79,92;0;0;0;0;67,13
451;78,864;77,86;50,78;0;0;0;72,84
452;81,336;79,92;52,38;0;0;0;72,84
453;81,336;79,92;55,63;0;0;0;72,84
454;81,336;79,92;63,65;0;0;0;72,84
455;78,864;77,86;63,65;0;0;0;72,84
456;78,096;77,22;63,66;0;0;36,11;72,84
457;81,336;79,92;63,66;0;0;58,93;72,84
458;81,336;79,92;63,66;25,77;36,57;58,14;72,84
459;79,334;81,69;63,66;0;45,85;71,08;93,47
460;79,334;81,69;63,66;30,16;73,74;73,55;93,47
461;87,422;88,43;79,1;38,45;73,74;73,55;93,47
462;114,194;110,74;63,66;68,98;73,74;93,76;93,47
463;118,468;114,38;82,14;68,98;73,74;94,39;93,94
464;119,41;115,61;84,37;68,98;94,05;94,86;96,61
465;119,514;115,73;85,92;90,32;96,6;95,56;96,81
466;119,204;115,74;86,4;91,57;97,7;96,31;98,42
467;119,226;115,73;86,85;92,09;99,04;98,01;98,25
468;119,162;115,74;87,37;92,62;99,04;99,39;98,63
469;122,6;118,82;87,91;93,06;99,53;99,73;99,92
470;129,672;124,85;88,36;93,23;99,69;100,01;100,74
471;135,566;129,83;90,65;94,06;100,6;100,01;101,15
472;154,11;145,42;91,42;94,24;100,93;100,65;101,97
473;158,962;149,62;92,01;95,41;102,01;101,53;102,91
474;146,44;139,46;94,15;96,57;102,04;101,74;104,56
475;135,146;129,92;95,09;96,49;103,13;102,97;103,79
476;125,012;122,42;95,24;96,49;102,18;102,97;109,46
477;117,978;120,07;95,89;96,43;102,89;102,79;130,53
478;115,904;118,32;96,01;97,46;103,2;103,92;130,4
479;114,302;118,62;98,46;98,11;102,75;104,69;140,21
480;113,59;118,23;95,9;96,57;103,53;104,81;141,43
481;117,246;117,83;98,05;96,57;103,29;104,69;120,75
482;113,834;118,23;96,4;96,49;103,07;104,79;140,21
483;117,458;118,03;96,81;96,49;103,1;104,69;120,89
484;117,932;118,82;96,4;95,79;103,29;104,79;123,26
485;128,734;126,39;102,07;96,49;103,29;104,18;114,67
486;159,482;154,05;118,15;96,4;103,07;104,69;126,89
487;178,458;172,88;134,53;95,79;103,29;103,92;144,99
488;182,944;172,88;138,81;96,43;103,29;103,92;122,56
